time,Theta-Q
ordinal,kelvin
7.351136590185185196e+05,3.281456000000000017e+02
7.351136590416666586e+05,3.280433000000000447e+02
7.351136590648147976e+05,3.280433000000000447e+02
7.351136590879629366e+05,3.279409999999999741e+02
7.351136591111110756e+05,3.276340999999999894e+02
7.351136591342593310e+05,3.276340999999999894e+02
7.351136591574074700e+05,3.276340999999999894e+02
7.351136591805556091e+05,3.276340999999999894e+02
7.351136592037037481e+05,3.277364000000000033e+02
7.351136592268518871e+05,3.277364000000000033e+02
7.351136592500000261e+05,3.278386999999999603e+02
7.351136592731481651e+05,3.278386999999999603e+02
7.351136592962963041e+05,3.277364000000000033e+02
7.351136593194444431e+05,3.277364000000000033e+02
7.351136593425925821e+05,3.277364000000000033e+02
7.351136593657407211e+05,3.275318000000000325e+02
7.351136593888888601e+05,3.275318000000000325e+02
7.351136594120371155e+05,3.274295000000000186e+02
7.351136594351852546e+05,3.275318000000000325e+02
7.351136594583333936e+05,3.276340999999999894e+02
7.351136594814815326e+05,3.276340999999999894e+02
7.351136595046296716e+05,3.276340999999999894e+02
7.351136595277778106e+05,3.276340999999999894e+02
7.351136595509259496e+05,3.277364000000000033e+02
7.351136595740740886e+05,3.277364000000000033e+02
7.351136595972222276e+05,3.277364000000000033e+02
7.351136596203703666e+05,3.277364000000000033e+02
7.351136596435185056e+05,3.275318000000000325e+02
7.351136596666666446e+05,3.272248999999999910e+02
7.351136596898147836e+05,3.270203000000000202e+02
7.351136597129630391e+05,3.268156999999999925e+02
7.351136597361111781e+05,3.269180000000000064e+02
7.351136597592593171e+05,3.270203000000000202e+02
7.351136597824074561e+05,3.269180000000000064e+02
7.351136598055555951e+05,3.269180000000000064e+02
7.351136598287037341e+05,3.269180000000000064e+02
7.351136598518518731e+05,3.268156999999999925e+02
7.351136598750000121e+05,3.267134000000000356e+02
7.351136598981481511e+05,3.267134000000000356e+02
7.351136599212962901e+05,3.268156999999999925e+02
7.351136599444444291e+05,3.268156999999999925e+02
7.351136599675925681e+05,3.268156999999999925e+02
7.351136599907407071e+05,3.269180000000000064e+02
7.351136600138889626e+05,3.270203000000000202e+02
7.351136600370371016e+05,3.269180000000000064e+02
7.351136600601852406e+05,3.268156999999999925e+02
7.351136600833333796e+05,3.268156999999999925e+02
7.351136601064815186e+05,3.326468000000000416e+02
7.351136601296296576e+05,3.271225999999999772e+02
7.351136601527777966e+05,3.272248999999999910e+02
7.351136601759259356e+05,3.271225999999999772e+02
7.351136601990740746e+05,3.272248999999999910e+02
7.351136602222222136e+05,3.274295000000000186e+02
7.351136602453703526e+05,3.272248999999999910e+02
7.351136602685184916e+05,3.272248999999999910e+02
7.351136602916666307e+05,3.271225999999999772e+02
7.351136603148148861e+05,3.271225999999999772e+02
7.351136603379630251e+05,3.271225999999999772e+02
7.351136603611111641e+05,3.271225999999999772e+02
7.351136603842593031e+05,3.270203000000000202e+02
7.351136604074074421e+05,3.271225999999999772e+02
7.351136604305555811e+05,3.270203000000000202e+02
7.351136604537037201e+05,3.270203000000000202e+02
7.351136604768518591e+05,3.271225999999999772e+02
7.351136604999999981e+05,3.270203000000000202e+02
7.351136605231481371e+05,3.270203000000000202e+02
7.351136605462962762e+05,3.271225999999999772e+02
7.351136605694444152e+05,3.272248999999999910e+02
7.351136605925926706e+05,3.272248999999999910e+02
7.351136606157408096e+05,3.273271999999999480e+02
7.351136606388889486e+05,3.274295000000000186e+02
7.351136606620370876e+05,3.274295000000000186e+02
7.351136606851852266e+05,3.274295000000000186e+02
7.351136607083333656e+05,3.313169000000000324e+02
7.351136607314815046e+05,3.275318000000000325e+02
7.351136607546296436e+05,3.275318000000000325e+02
7.351136607777777826e+05,3.274295000000000186e+02
7.351136608009259216e+05,3.274295000000000186e+02
7.351136608240740607e+05,3.274295000000000186e+02
7.351136608472221997e+05,3.274295000000000186e+02
7.351136608703703387e+05,3.274295000000000186e+02
7.351136608935185941e+05,3.274295000000000186e+02
