time,altitude,latitude,longitude,temperature,RH,Pressure,LWC,TAS,udvel
datenum,m,deg,deg,celsius,%,mb,g/m3,m/s,m/s
7.351136524791666307e+05,3.070000000000000000e+02,4.594127000000000294e+01,-3.055200000000013461e+00,2.513718900000000289e+01,8.582999999999999829e+01,1.059520000000000209e+03,1.128000000000000010e-02,8.903883971999999858e+01,0.000000000000000000e+00
7.351136524907407584e+05,3.090000000000000000e+02,4.594160999999999717e+01,-3.055710000000004811e+00,2.501023349999999823e+01,8.504999999999999716e+01,1.059190000000000055e+03,3.759999999999999887e-03,8.932513823999998692e+01,0.000000000000000000e+00
7.351136525023148861e+05,3.130000000000000000e+02,4.594212000000000273e+01,-3.056399999999996453e+00,2.501023349999999823e+01,8.465999999999999659e+01,1.058750000000000000e+03,8.460000000000000506e-03,8.922970540000000028e+01,0.000000000000000000e+00
7.351136525138888974e+05,3.160000000000000000e+02,4.594281000000000148e+01,-3.057079999999984921e+00,2.501023349999999823e+01,8.609000000000000341e+01,1.058310000000000173e+03,7.519999999999999775e-03,8.970686959999999033e+01,0.000000000000000000e+00
7.351136525254630251e+05,3.200000000000000000e+02,4.594333000000000311e+01,-3.057770000000004984e+00,2.488327800000000067e+01,8.622000000000001307e+01,1.057760000000000218e+03,3.007999999999999910e-02,8.932513823999998692e+01,0.000000000000000000e+00
7.351136525370370364e+05,3.220000000000000000e+02,4.594384000000000157e+01,-3.058289999999999509e+00,2.488327800000000067e+01,8.726000000000000512e+01,1.057539999999999964e+03,3.384000000000000202e-02,8.913427255999999943e+01,0.000000000000000000e+00
7.351136525486111641e+05,3.260000000000000000e+02,4.594418000000000291e+01,-3.058800000000019281e+00,2.488327800000000067e+01,8.765000000000000568e+01,1.057100000000000136e+03,5.640000000000000048e-03,8.989773528000000624e+01,0.000000000000000000e+00
7.351136525601851754e+05,3.280000000000000000e+02,4.594487000000000165e+01,-3.059660000000008040e+00,2.488327800000000067e+01,8.712999999999999545e+01,1.056770000000000209e+03,1.974000000000000060e-02,9.529999999999999716e+01,0.000000000000000000e+00
7.351136525717593031e+05,3.320000000000000000e+02,4.594521000000000299e+01,-3.060169999999999391e+00,2.475632249999999956e+01,8.660999999999999943e+01,1.056220000000000027e+03,6.579999999999999911e-03,8.980230243999999118e+01,0.000000000000000000e+00
7.351136525833333144e+05,3.350000000000000000e+02,4.594590000000000174e+01,-3.060859999999991032e+00,2.475632249999999956e+01,8.660999999999999943e+01,1.055890000000000100e+03,1.128000000000000010e-02,8.970686959999999033e+01,0.000000000000000000e+00
7.351136525949074421e+05,3.380000000000000000e+02,4.594641000000000020e+01,-3.061550000000011096e+00,2.475632249999999956e+01,8.660999999999999943e+01,1.055560000000000173e+03,1.598000000000000115e-02,8.970686959999999033e+01,0.000000000000000000e+00
7.351136526064814534e+05,3.430000000000000000e+02,4.594693000000000183e+01,-3.062229999999999563e+00,2.475632249999999956e+01,8.739000000000000057e+01,1.054900000000000091e+03,3.760000000000000148e-02,8.942057108000000198e+01,0.000000000000000000e+00
7.351136526180555811e+05,1.175000000000000000e+03,4.594727000000000317e+01,-3.062749999999994088e+00,2.475632249999999956e+01,1.000000000000000000e+02,8.675000000000000000e+02,4.041999999999999760e-02,8.470000000000000284e+01,0.000000000000000000e+00
7.351136526296297088e+05,3.490000000000000000e+02,4.594796000000000191e+01,-3.063440000000014152e+00,2.462936700000000201e+01,8.868999999999999773e+01,1.054130000000000109e+03,5.263999999999999929e-02,8.913427255999999943e+01,0.000000000000000000e+00
7.351136526412037201e+05,3.520000000000000000e+02,4.594847000000000037e+01,-3.064130000000005793e+00,2.462936700000000201e+01,8.907999999999999829e+01,1.053800000000000182e+03,4.794000000000000344e-02,8.922970540000000028e+01,0.000000000000000000e+00
7.351136526527778478e+05,3.550000000000000000e+02,4.594881999999999778e+01,-3.064639999999997144e+00,2.450241149999999735e+01,8.947000000000001307e+01,1.053360000000000127e+03,3.665999999999999814e-02,8.951600391999998863e+01,0.000000000000000000e+00
7.351136526643518591e+05,3.590000000000000000e+02,4.594933000000000334e+01,-3.065499999999985903e+00,2.450241149999999735e+01,8.959999999999999432e+01,1.052810000000000173e+03,3.760000000000000148e-02,8.970686959999999033e+01,0.000000000000000000e+00
7.351136526759259868e+05,3.650000000000000000e+02,4.594984999999999786e+01,-3.066180000000002792e+00,2.450241149999999735e+01,8.895000000000000284e+01,1.052150000000000091e+03,1.409999999999999795e-02,9.008860096000000794e+01,0.000000000000000000e+00
7.351136526874999981e+05,3.670000000000000000e+02,4.595053000000000054e+01,-3.066869999999994434e+00,2.450241149999999735e+01,8.856000000000000227e+01,1.051930000000000064e+03,3.948000000000000120e-02,8.932513823999998692e+01,0.000000000000000000e+00
7.351136526990741258e+05,3.710000000000000000e+02,4.595087999999999795e+01,-3.067560000000014497e+00,2.437545599999999979e+01,8.959999999999999432e+01,1.051270000000000209e+03,6.768000000000000405e-02,8.922970540000000028e+01,0.000000000000000000e+00
7.351136527106481371e+05,3.770000000000000000e+02,4.595139000000000351e+01,-3.068070000000005848e+00,2.437545599999999979e+01,8.985999999999999943e+01,1.050610000000000127e+03,1.015199999999999991e-01,8.913427255999999943e+01,0.000000000000000000e+00
